"Risk Owner","Risk & Impact Description","Likelihood-Inherent","Impact-Inherent","Criticality-Inherent","Controls","Likelihood-Residual","Impact-Residual","Criticality-Residual","Governing P&Ps","ERM Dashboard Metric","Risk Category","Included in BIA","Modified","Created","Created By"
"Compliance","Failure to submit accurate and timely regulatory returns","Likely","Major","Medium High","Regulatory Reporting Calendar, Compliance review workflow.","Possible","Major","Medium High","Compliance - 04_MAS Approval, Notification and Incident Reporting Policy
Compliance - 5 - Regulatory Reporting (BC & RBC)","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 5:09 AM","7/16/2025 1:55 AM","Shelly Harding"
"Compliance","Failure to track upcoming regulatory changes may result in missed compliance obligations","Likely","Major","Medium High","Regulatory Horizon Scanning, compliance calendar, memberships.","Possible","Major","Medium High","Compliance - 6 - Regulatory Change Management
Compliance - 23 - Compliance Manual","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 9:35 PM","7/16/2025 1:55 AM","Shelly Harding"
"Compliance","Undisclosed or unmanaged conflicts of interest could impact objective decision-making","Possible","Major","Medium High","Conflict of Interest Register, attestation, annual disclosures.","Unlikely","Major","Medium","Compliance - 16 - Conflict of Interest Policy
Compliance - 36 - Code of Conduct Policy
Compliance - 23 - Compliance Manual
Compliance - 15 - Whisleblowing Policy
Compliance - 31 - Outside Business Affiliation Policy
Compliance - 18 - Personal Account Dealing Policy","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 9:35 PM","7/16/2025 1:55 AM","Shelly Harding"
"Compliance","Inadequate counterparty due diligence may expose firm to high-risk or illicit actors","Possible","Major","Medium High","Counterparty Due Diligence Manual, onboarding checklist.","Unlikely","Major","Medium","Compliance - 43 - Counterparty and Partner Due Diligence Manual","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 9:35 PM","7/16/2025 1:55 AM","Shelly Harding"
"Compliance","Improper segregation of client monies and assets could lead to misappropriation or loss of funds","Unlikely","Major","Medium","Segregated accounts, daily reconciliations, safeguarding checks.","Rare","Major","Medium","Compliance - 8 - Safeguarding Policy
Compliance - 23 - Compliance Manual","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 8:06 PM","7/16/2025 1:55 AM","Shelly Harding"
"Compliance","Non-compliance with fit and proper criteria for staff and licensed representatives may result in regulatory breaches and reputational damage","Possible","Major","Medium High","Fitness and Propriety assessments, reference checks, annual declarations, disciplinary review processes.","Unlikely","Major","Medium","Compliance - 26 - MAS Licensed Representatives Appointment and Competency Requirements
Compliance - 23 - Compliance Manual
Compliance - 36 - Code of Conduct Policy
Compliance - 23 - Compliance Manual
Compliance - 15 - Whisleblowing Policy","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 5:10 AM","7/16/2025 1:55 AM","Shelly Harding"
"Compliance","Improper business conduct by employees or representatives may lead to regulatory sanctions and reputational damage","Possible","Major","Medium High","Code of Conduct Policy, disciplinary process, periodic review of conduct.","Unlikely","Major","Medium","Compliance - 26 - MAS Licensed Representatives Appointment and Competency Requirements
Compliance - 16 - Conflict of Interest Policy
Compliance - 36 - Code of Conduct Policy
Compliance - 23 - Compliance Manual
Compliance - 15 - Whisleblowing Policy","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 5:10 AM","7/16/2025 1:55 AM","Shelly Harding"
"Compliance","Lack of segregation of duties may lead to conflicts of interest, fraud, or control failures","Likely","Major","Medium High","Role-based access control, independent checks, dual approval processes.","Possible","Major","Medium High","Compliance - 16 - Conflict of Interest Policy
Compliance - 36 - Code of Conduct Policy
Compliance - 23 - Compliance Manual","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 9:35 PM","7/16/2025 1:55 AM","Shelly Harding"
"Finance","Failure to meet capital adequacy ratios may trigger regulatory action, including warnings or potential license suspension by MAS.","Possible","Severe","Medium High","Monitor capital levels daily and provide an early alert if they approach or fall below the regulatory threshold.","Unlikely","Severe","Medium High","FIN-05 - Policy on Treasury and Cash Management","Daily RBC requirement","Compliance/Regulatory","False","10/30/2025 8:20 PM","6/10/2025 11:03 PM","Stanley Chin"
"Finance","Insufficient liquidity or funding may prevent the firm from meeting operational or investment needs.","Possible","Major","Medium High","Monthly cash flow forecasting and monitoring; funding plans aligned with approved budgets and projected cash flows.","Unlikely","Moderate","Medium","FIN-05 - Policy on Treasury and 
Cash Management","Specify if there is a metric to monitor this risk","Financial","False","10/16/2025 5:10 AM","9/9/2025 7:10 PM","Calreen Chan"
"Finance","<div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Inaccurate or delayed financial reporting can affect decision-making and regulatory compliance.<br></div>","Unlikely","Major","Medium","Oversight by Finance Manager, coordination with external bookkeeper, monthly variance analysis, trading book checks, and documentation retention for audit.","Rare","Moderate","Low","FIN-07 - Policy on Month-End Closing","Specify if there is a metric to monitor this risk","Financial","False","10/12/2025 11:27 PM","9/9/2025 7:12 PM","Calreen Chan"
"Finance","Misstated balance sheet due to inaccurate fixed asset register, unrecorded disposals, or unverified impairments","Unlikely","Moderate","Medium","The Finance Manager conducts annual physical verification of fixed assets and reconciles findings with the Fixed Asset Register. All disposals and impairments are properly documented, approved by the Head of Finance before journal entries are recorded and the register is updated.","Rare","Moderate","Low","FIN-06 - Policy on Capital Expenditure and Fixed Asset Management","Specify if there is a metric to monitor this risk","Financial","False","10/16/2025 9:35 PM","9/9/2025 7:16 PM","Calreen Chan"
"Finance","<div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Increased risk of fraud or undetected errors due to lack of segregation of duties<br></div>","Unlikely","Major","Medium","Finance functions like payment initiation, approval, and recording are handled by separate individuals to prevent conflicts and reduce fraud risk.","Rare","Moderate","Low","FIN-01- FIN-07, all Finance Policies","Specify if there is a metric to monitor this risk","Financial","False","10/15/2025 3:29 PM","9/9/2025 7:17 PM","Calreen Chan"
"Finance","Financial deviation from strategic goals due to insufficient budget monitoring","Possible","Moderate","Medium","The Finance Manager monitors actual performance monthly, prepares variance reports, investigates deviations over 5%, and escalates findings to the Head of Finance and CEO for review and action.","Unlikely","Moderate","Medium","FIN-01 - Policy on Budgeting","Specify if there is a metric to monitor this risk","Financial","False","10/16/2025 9:35 PM","9/9/2025 7:18 PM","Calreen Chan"
"Finance","Non-compliance with Regulatory Reporting Deadlines","Unlikely","Major","Medium","Calendar reminders, clearly communicated reporting timelines, Finance Department oversight, and escalation of delays to the Head of Finance","Rare","Major","Medium","FIN-07 - Policy on Month-End Closing","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 9:35 PM","9/9/2025 7:13 PM","Calreen Chan"
"Finance","<div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Penalties arising from incorrect GST or corporate tax filings<br></div>","Unlikely","Major","Medium","All GST and corporate tax filings are reviewed by the Head of Finance. External tax advisors are engaged to ensure accuracy and compliance with relevant tax regulations.","Rare","Major","Medium","FIN-07 - Policy on Month-End Closing","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 9:35 PM","9/9/2025 7:14 PM","Calreen Chan"
"Finance","<div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">Missing or incomplete documentation may hinder audit verification, leading to non-compliance or audit qualifications.<br></div>","Unlikely","Major","Medium","Implement document retention policy, ensure system access logs and reconciliation records are maintained.","Rare","Major","Medium","FIN-01- FIN-07, all Finance Policies","Specify if there is a metric to monitor this risk","Financial","False","10/15/2025 3:48 PM","9/9/2025 7:19 PM","Calreen Chan"
"HR","Employee misconduct, such as non-compliance with the Code of Conduct, harassment, or discrimination, leading to legal and regulatory fines, reputational damage, and a decline in employee morale","Unlikely","Moderate","Medium","Code of Conduct: A formal, documented, and regularly updated Code of Conduct that defines expected behavior, anti-harassment, and anti-discrimination policies. All employees are required to formally acknowledge their receipt and understanding of this document.

Mandatory Training: All employees, managers, and new hires are required to complete regular training on the Code of Conduct, with a focus on ethical behavior and legal compliance.

Confidential Reporting Channel: Whistle blowing process

Independent Investigation: A documented and impartial process for investigating all allegations of misconduct.

Disciplinary Actions will be taken based management review and the procedures.","Rare","Moderate","Low","HR – 05 Conduct Violation Protocol","Specify if there is a metric to monitor this risk","Reputational","False","11/7/2025 12:02 AM","9/15/2025 7:02 PM","Stanley Chin"
"HR","Hiring unsuitable candidates or hiring mismatch.","Possible","Moderate","Medium","Standardized recruitment and interview process. Interview to be arranged with different layers of seniority and different departments. Background verification and enhanced reference checks. ","Unlikely","Moderate","Medium",,"Specify if there is a metric to monitor this risk","Reputational","False","10/16/2025 5:11 AM","9/21/2025 6:18 PM","Stanley Chin"
"HR","Employee Data &amp; Privacy information leakage.","Possible","Moderate","Medium","Maintain secure access controls to sensitive personal data/information.   ","Rare","Moderate","Low",,"Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 5:11 AM","9/21/2025 6:20 PM","Stanley Chin"
"HR","Incorrect payroll &amp; compensation or fraudulent payments.","Possible","Moderate","Medium","Segregation of duty (maker/checker process) in place and actual payment process is outsourced to external vendor. 4-eye checks are performed on payment approval process as well.","Unlikely","Moderate","Medium",,"Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 5:12 AM","9/21/2025 6:21 PM","Stanley Chin"
"HR","Offboarding ; Termination","Possible","Moderate","Medium","For staff departing, make sure handover process is in place with sufficient time. 
Arrange exit interviews to identify some of the potential risks or issues post the departure and to make sure access to the company's information/data are terminated once confirmed that the staff will no longer be coming to the office. 
Collect all company belongings/devices/security cards etc to fully cut off the access. ","Unlikely","Moderate","Medium","Offboarding Checklist","Specify if there is a metric to monitor this risk","Reputational","False","11/7/2025 12:04 AM","9/21/2025 6:25 PM","Stanley Chin"
"HR","Performance management and performance issues","Possible","Moderate","Medium","Keep close monitor of the probation period to see if the staff is performing as expected or delivering the performance/results that are expected or committed. 
Set yearly evaluation process to monitor/feedback each staff's performances.","Possible","Minor","Medium",,"Specify if there is a metric to monitor this risk","Reputational","False","10/16/2025 5:12 AM","9/21/2025 6:23 PM","Stanley Chin"
"Operations","Erroneous Withdrawals
Bitgo (GoAccount/Custody Cold wallet) - withdrawals to Copper and client whitelisted address.","Unlikely","Moderate","Medium","Client's whitelisted address creation done by system (SINDI). Details created by Sales, approved by Operations (4eye check)
1 management (Sho, Simon, Kenataro) to approve whitelisted address
3/5 Approvers needed to approve withdrawals
1mio USD and above, video call with bitgo (Sho, Kentaro)
","Rare","Moderate","Low",,"Specify if there is a metric to monitor this risk","Financial","False","10/16/2025 5:13 AM","8/20/2025 2:06 AM","Chua Wei Siong"
"Operations","Erroneous Transfer>Bitgo (Self Custody) - Transfers to/from Circle and Copper.","Unlikely","Moderate","Medium","Whitelist address requires maker/checker - 1 management (Sho, Simon, Kenataro) to approve whitelisted address
3/5 Approvers needed to approve withdrawals","Rare","Moderate","Low",,"Specify if there is a metric to monitor this risk","Financial","False","10/16/2025 9:35 PM","8/26/2025 12:58 AM","Chua Wei Siong"
"Operations","Erroneous Transfer>Copper - Deposits/ withdrawals - Bitgo GoAccount and Bitgo client individual wallet address.","Unlikely","Moderate","Medium","Copper has travelrule implemented, hence all deposits and withdrawals has to be whitelisted and verified with copper.
3/5 Approvers needed to approve withdrawals
","Rare","Moderate","Low",,"Specify if there is a metric to monitor this risk","Financial","False","10/16/2025 9:35 PM","8/26/2025 1:09 AM","Chua Wei Siong"
"Risk","Counterparty Default Risk.
In the course of its business, PS is subjected to the financial risk of losing its assets (including equity) should these counterparties fail.
1) Custodians; BITGO, COPPER
2) Exchanges; Deribit, Bybit and OKX
3) OTC Bilateral Counterparty","Possible","Major","Medium High","1) Due diligence exercises are performed on custodians prior to engagement to ensure that PS' assets under custody are properly ring-fenced from default. Only reputable custodians with established industry footing are considered.

2)  Due diligence exercises are performed prior to trading to understand that the exchange's risk mitigation mechanisms and its exposures to other risky business practice that may cause it to fail. Additionally, to the extent economically possible, Clearloop service (Copper) is used for off-exchange settlements, minimising the need to keep assets on the unregulated trading venues.

3) Extensive Due Diligence is performed on OTC counterparties. Rigorous credit review exercise is performed prior to engagement. Credit exposure monitoring in place to control exposures.
","Possible","Moderate","Medium","Risk - 03 Credit Risk Policy","Specify if there is a metric to monitor this risk","Financial","False","10/16/2025 9:35 PM","9/4/2025 1:02 AM","Stanley Chin"
"Risk","New Product/Business Risk
1) Mispricing of complex otc trade resulting in financial loss to the firm.
2) Inadequate modeling of capital requirement resulting in the firms' hedges being auto liquidated , thereby incurring replacement cost.
3) Risk of tailor-made operational; If the new product requires a new workflow, failure to consider all aspect of operational breaks may result in misbooking, incorrect hedges and delay in executing hedges etc
4) Regulatory/Compliance Impact; Innovative products, such as those involving new technology, ,may expose the firm to additional risk that the firm may not be able to pass on to its clients. E.g. Smart contract risk may exposure the client trade to hacking and code bugs etc that may eventually result in loss of assets.
5) Reputation risk; structured product without clear risk disclosures may subject the firm to litigation if the client loses his capital.","Likely","Moderate","Medium High","The firm has put in place a new product/business approval process where issues related to pricing, operational, technology and client-impact etc are discussed and finally documented in the New Product Approval Form that will be submitted to the Risk and Oversight Committee for proper approval.","Possible","Minor","Medium",,"Specify if there is a metric to monitor this risk","Financial","False","10/16/2025 9:35 PM","7/11/2025 8:37 PM","Stanley Chin"
"Sales (Intl/Jpn)","Managing Client Orders
Failure affects market timing, trade execution and client losses (if any). Delays can breach MAS transaction confirmation rules. Delays by clients in confirming trades.","Unlikely","Moderate","Medium","Revert to Manual Order intake
Managing of client expectations, being prompt to respond. Client negotiation.","Rare","Moderate","Low",,"Specify if there is a metric to monitor this risk","Financial","False","10/16/2025 5:15 AM","8/25/2025 6:34 PM","Kenny Wan"
"Sales (Intl/Jpn)","Error in keying in trades","Rare","Moderate","Low","Come up with a maker & checker system to ensure that trades are being check for errors.","Possible","Moderate","Medium",,"Specify if there is a metric to monitor this risk","Financial","False","10/16/2025 5:15 AM","10/6/2025 6:37 PM","Kenny Wan"
"Sales (Intl/Jpn)","Suitability Assessment. Failure leads to unsuitable advice, regulatory breaches. Inadequate documentation risks MAS breaches and client disputes.","Possible","Moderate","Medium","Store Suitability forms in a secure offline location or backup CRM","Unlikely","Minor","Low",,"Specify if there is a metric to monitor this risk","Reputational","False","10/16/2025 9:35 PM","8/25/2025 6:27 PM","Kenny Wan"
"Sales (Intl/Jpn)","Client Communication & Disclosure. 
Omission can lead to non-compliance and client litigation.
Poor response damages trust, possible MAS customer service issues.","Possible","Minor","Medium","Maintain a pre-approved hardcopy folder of required documents
Managing of client expectations, being prompt to respond","Unlikely","Minor","Low",,"Specify if there is a metric to monitor this risk","Reputational","False","10/16/2025 10:04 PM","8/25/2025 6:31 PM","Kenny Wan"
"Sales (Intl/Jpn)","Access to Client Portfolios and Product Information.
Downtime affects advisors and clients; data inconsistency risk.","Unlikely","Minor","Low","Restore from most recent backup (local or cloud-based) following tested BCP/DR procedures","Rare","Minor","Low",,"Specify if there is a metric to monitor this risk","Reputational","False","10/16/2025 5:17 AM","8/25/2025 6:35 PM","Kenny Wan"
"Sales (Intl/Jpn)","Staff training on crypto product knowledge and regulatory changes.
Inadequate training risks misconduct or mis-selling.
Missing CPD records can trigger license compliance issues.","Unlikely","Moderate","Medium","Do a bi-annual checks on training hours and CPD hours check to ensure that staffs are on-track to completing their training and CPD hours","Rare","Minor","Low",,"Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 5:17 AM","8/25/2025 6:38 PM","Kenny Wan"
"Security","Phishing attack leading to loss of confidential data-customer data-staffs' passwords to key systems; BITGO, COPPER, trading accounts.","Likely","Major","Medium High","Email is monitored by MIMECAST
CrowdStrike is deployed on personal mobiles that have access to company's data, as well as company-issue laptops.
Compliance training on phishing conducted periodically","Likely","Moderate","Medium High",,"Specify if there is a metric to monitor this risk","Technology & Cyber","False","10/16/2025 9:35 PM","9/10/2025 11:44 PM","Stanley Chin"
"Security","Data breach from loss/mis-handling of company's information assets.
-Leakage of customers privacy data; personal particulars.
-Leakage of company confidential trade and business data.","Almost Certain","Moderate","Medium High","MDM software such as Microsoft INTUNE is deployed.
Staffs are required to report loss of devices to SOC within 30mins for remote wipe.
Staffs are required to periodically reset their passwords to all accounts.","Almost Certain","Minor","Medium High","Acceptable Use policy","Specify if there is a metric to monitor this risk","Technology & Cyber","False","10/16/2025 9:35 PM","9/10/2025 11:41 PM","Stanley Chin"
"Security","Vulnerabilities in key system exploited by hackers.","Possible","Major","Medium High","proactive cyber risk scanner-Tenable is deployed for platform vulnerability management.","Unlikely","Major","Medium",,"Specify if there is a metric to monitor this risk","Technology & Cyber","False","10/16/2025 5:19 AM","9/11/2025 1:54 AM","Stanley Chin"
"Technology","[Shadow IT / End-User Application Risk] lack of proper security control of these applications can lead to leakage of sensitive data; malware infection.","Unlikely","Minor","Low","Shadow computing is not allowed within the firm. Access to software development is restricted and controlled centrally by corp IT.","Rare","Negligible","Low","Technology – 01 Technology Risk Management Framework","Specify if there is a metric to monitor this risk","Technology & Cyber","False","11/9/2025 10:12 PM","11/9/2025 9:38 PM","Stanley Chin"
"Technology","[Network Security] DDoS Attack causing SINDI to be unavailable for prolong period of time.
Trades cannot be booked on time.
Loss of visibility on position risk.""
","Unlikely","Moderate","Medium","Voice channel available. 
Cyber security measures in place.
SINDI is on GCP, which provides L3/L4 DDOS protection.","Unlikely","Moderate","Medium","Technology – 01 Technology Risk Management Framework.
Technology – 10
Network Security Policy
",,"Technology & Cyber","False","11/9/2025 9:39 PM","6/10/2025 11:06 PM","Stanley Chin"
"Technology","[Data Loss/Theft] Ransomware attack, including on a third-party service provider.","Possible","Moderate","Medium","Following recommendations form MAS FINTEL-2025-0606-01:
• Incorporate the provided IOCs into your security monitoring and detection systems.
• Notify your MAS Reporting Officer immediately if your financial institution suspects it has been affected by a ransomware attack.
• Conduct network scans using the IOCs listed in the table and report any detected matches to a MAS Reporting Officer.
• Monitor for any unusual network activity or system behaviour that could indicate compromise.","Possible","Moderate","Medium","Technology – 01 Technology Risk Management Framework
","Specify if there is a metric to monitor this risk","Technology & Cyber","True","11/9/2025 9:33 PM","6/11/2025 12:15 AM","Stanley Chin"
"Technology","[Critical IT System outage] Cloud Service Outage E.g. GCP","Possible","Moderate","Medium","During outage, SINDI application will be redirected to an in-house NAS system, which is kept in sync with latest source code and database backup. Users will be informed and be advice to temporarily log their orders via the inhouse hosted SINDI.

Post Cloud service recovery, all data will be synchronised up and be reviewed.
","Possible","Moderate","Medium","Technology – 01 Technology Risk Management Framework
","Specify if there is a metric to monitor this risk","Technology & Cyber","False","11/9/2025 9:34 PM","10/7/2025 12:37 AM","Stanley Chin"
"Technology","[Failure to Patch Critical Vulnerabilities] May lead to exploitation of known vulnerabilities.","Possible","Major","Medium High","Formal patch management process in place, which includes regular vulnerability scans of network infrastructure components, as well as corresponding patch deployments.","Unlikely","Moderate","Medium","Technology – 10
Network Security Policy
","Specify if there is a metric to monitor this risk","Technology & Cyber","False","11/9/2025 9:53 PM","11/9/2025 9:52 PM","Stanley Chin"
"Technology","[Unauthorized System Access (User Access)] Compromise of data integrity; system disruption.","Possible","Major","Medium High","Policies and process in place to implement: User Access management (IAM), System & Service Acc Management, Remote Access, as well as Privilege Access Management.","Unlikely","Moderate","Medium","Technology – 09
Access Control Policy
","Specify if there is a metric to monitor this risk","Technology & Cyber","False","11/9/2025 10:03 PM","11/9/2025 10:02 PM","Stanley Chin"
"Technology","[Compromise via Software Vulnerabilities] Vulnerabilities in custom-built software may be subjected to exploitation by threat actors; system compromise; data leakage.","Possible","Major","Medium High","All custom-built softwares are put through the SDLC framework for proper risk management.","Unlikely","Moderate","Medium","Technology – 04
System Development Lifecycle (SDLC) Policy
","Specify if there is a metric to monitor this risk","Technology & Cyber","False","11/9/2025 10:11 PM","11/9/2025 10:10 PM","Stanley Chin"
"Technology","Loss of Key tech Personnel","Possible","Minor","Medium","To control the risk of losing key tech personnel, the strategy focuses on eliminating single points of failure through preventive measures like mandatory cross-training and a familiarisation of business systems like SINDI, MS 365 Admin, Slack Admin, Crowdstrike, Cisco Network and others. Department also use Bitwarden to shared password vaults. 

If a loss occurs, corrective actions such as re-assignment of task, formal handover process, and engaging third-party sub-contractor and support to fill the gap. These actions are all underpinned by directive policies that mandate documentation, access control, and a formal offboarding process to ensure knowledge is transferred.","Possible","Minor","Medium","Technology – 01 Technology Risk Management Framework
","Specify if there is a metric to monitor this risk","Technology & Cyber","False","11/9/2025 7:08 PM","10/7/2025 12:37 AM","Stanley Chin"
"Technology","[Potential Day 0 attack on End Devices]","Possible","Minor","Medium","Preventive controls aim to reduce the attack surface by enforcing strict network segmentation to protect critical systems like SINDI, applying the principle of least privilege to all accounts. 

Crowdstrike mitigates zero-day attacks by focusing on Indicators of Attack (IOAs) rather than traditional signatures. Its preventive NGAV and behavioral blocking use machine learning to stop malicious processes before they can complete. Its detective EDR capabilities (Falcon Insight) record all endpoint activity, allowing its cloud AI to identify suspicious sequences of events in real-time. Finally, its corrective response automatically isolates a compromised endpoint from the network to stop the attack's spread, while providing security teams with remote access to investigate and remediate the threat.","Possible","Minor","Medium","Technology – 01 Technology Risk Management Framework
","Specify if there is a metric to monitor this risk","Technology & Cyber","False","11/9/2025 9:34 PM","10/7/2025 12:40 AM","Stanley Chin"
